City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Alofi,NU,2022-06-14 21:37:25,-19.0595,-169.9187,80.49,69,40,11.5,scattered clouds,0.0,0.0
1,Belle Fourche,US,2022-06-14 21:41:18,44.6714,-103.8522,69.31,45,46,13.96,scattered clouds,0.0,0.0
2,Albany,US,2022-06-14 21:44:17,42.6001,-73.9662,81.91,46,13,1.01,few clouds,0.0,0.0
3,Tucuma,BR,2022-06-14 21:45:53,-0.1833,-50.05,75.97,91,87,7.2,overcast clouds,0.0,0.0
4,Sao Filipe,CV,2022-06-14 21:35:58,14.8961,-24.4956,74.52,77,100,12.68,overcast clouds,0.0,0.0
5,Lichinga,MZ,2022-06-14 21:45:54,-13.3128,35.2406,57.29,82,0,4.61,clear sky,0.0,0.0
6,Soyo,AO,2022-06-14 21:45:54,-6.1349,12.3689,73.09,86,16,8.68,few clouds,0.0,0.0
7,Hasaki,JP,2022-06-14 21:32:56,35.7333,140.8333,64.29,85,100,13.62,light rain,0.0,0.0
8,Mataura,NZ,2022-06-14 21:45:54,-46.1927,168.8643,46.47,96,100,9.37,light rain,0.0,0.0
9,Qaanaaq,GL,2022-06-14 21:36:16,77.484,-69.3632,30.51,73,93,1.95,overcast clouds,0.0,0.0
10,Tasiilaq,GL,2022-06-14 21:45:55,65.6145,-37.6368,39.36,91,100,14.54,light rain,0.0,0.0
11,Bluff,NZ,2022-06-14 21:45:55,-46.6,168.3333,46.8,73,100,30.02,overcast clouds,0.0,0.0
12,Hithadhoo,MV,2022-06-14 21:45:55,-0.6,73.0833,82.53,70,47,4.88,scattered clouds,0.0,0.0
13,Ushuaia,AR,2022-06-14 21:45:40,-54.8,-68.3,37.02,88,26,4.83,scattered clouds,0.0,0.0
14,Chuy,UY,2022-06-14 21:37:02,-33.6971,-53.4616,54.21,90,7,6.15,clear sky,0.0,0.0
15,Bredasdorp,ZA,2022-06-14 21:45:56,-34.5322,20.0403,49.01,82,74,7.0,broken clouds,0.0,0.0
16,Cockburn Town,TC,2022-06-14 21:36:27,21.4612,-71.1419,80.62,81,85,19.69,overcast clouds,0.0,0.0
17,Gidam,IN,2022-06-14 21:45:56,18.9833,81.4,76.69,74,87,0.92,overcast clouds,0.0,0.0
18,Mar Del Plata,AR,2022-06-14 21:34:47,-38.0023,-57.5575,56.08,71,0,4.61,clear sky,0.0,0.0
19,Iqaluit,CA,2022-06-14 21:32:41,63.7506,-68.5145,47.93,71,75,5.75,broken clouds,0.0,0.0
20,Pangkalanbuun,ID,2022-06-14 21:45:57,-2.6833,111.6167,72.93,96,83,2.82,broken clouds,0.0,0.0
21,Cherskiy,RU,2022-06-14 21:45:57,68.75,161.3,64.45,31,6,3.87,clear sky,0.0,0.0
22,Lixourion,GR,2022-06-14 21:45:58,38.2019,20.4314,77.0,88,20,4.61,few clouds,0.0,0.0
23,Ponta Do Sol,PT,2022-06-14 21:34:13,32.6667,-17.1,68.63,72,18,6.44,few clouds,0.0,0.0
24,Salalah,OM,2022-06-14 21:35:20,17.0151,54.0924,84.29,89,75,9.22,broken clouds,0.0,0.0
25,Kapaa,US,2022-06-14 21:45:58,22.0752,-159.319,84.18,72,20,20.71,few clouds,0.0,0.0
26,Guerrero Negro,MX,2022-06-14 21:42:25,27.9769,-114.0611,72.27,54,0,18.03,clear sky,0.0,0.0
27,Salihorsk,BY,2022-06-14 21:45:59,52.7876,27.5415,49.71,92,0,10.56,clear sky,0.0,0.0
28,Cape Town,ZA,2022-06-14 21:45:59,-33.9258,18.4232,50.92,87,20,3.44,few clouds,0.0,0.0
29,Hobart,AU,2022-06-14 21:45:59,-42.8794,147.3294,45.05,86,0,8.05,light rain,0.0,0.0
30,Ribeira Grande,PT,2022-06-14 21:45:57,38.5167,-28.7,64.74,85,100,10.2,overcast clouds,0.0,0.0
31,Mahebourg,MU,2022-06-14 21:37:06,-20.4081,57.7,71.26,88,75,13.8,broken clouds,0.0,0.0
32,Okhotsk,RU,2022-06-14 21:46:00,59.3833,143.3,46.67,81,79,1.88,broken clouds,0.0,0.0
33,Ostrovnoy,RU,2022-06-14 21:46:00,68.0531,39.5131,52.72,88,27,9.95,light rain,0.0,0.0
34,Fortuna,US,2022-06-14 21:36:12,40.5982,-124.1573,64.92,62,0,14.97,clear sky,0.0,0.0
35,Hay River,CA,2022-06-14 21:45:02,60.8156,-115.7999,69.78,40,40,11.5,scattered clouds,0.0,0.0
36,Avarua,CK,2022-06-14 21:46:01,-21.2078,-159.775,80.65,74,32,16.11,scattered clouds,0.0,0.0
37,Tucurui,BR,2022-06-14 21:46:01,-3.7661,-49.6725,75.4,91,69,1.25,broken clouds,0.0,0.0
38,Sassandra,CI,2022-06-14 21:46:01,4.95,-6.0833,77.54,84,100,10.65,light rain,0.0,0.0
39,Marawi,PH,2022-06-14 21:37:42,7.9986,124.2928,68.4,90,79,2.51,broken clouds,0.0,0.0
40,Punta Arenas,CL,2022-06-14 21:41:08,-53.15,-70.9167,37.51,87,0,8.05,clear sky,0.0,0.0
41,Isangel,VU,2022-06-14 21:34:48,-19.55,169.2667,75.31,94,20,2.3,few clouds,0.0,0.0
42,Saskylakh,RU,2022-06-14 21:36:10,71.9167,114.0833,44.08,55,12,13.31,few clouds,0.0,0.0
43,Bahia Blanca,AR,2022-06-14 21:36:18,-38.7196,-62.2724,53.1,51,100,5.35,overcast clouds,0.0,0.0
44,Oster,UA,2022-06-14 21:46:02,50.9506,30.8823,51.96,74,27,7.0,scattered clouds,0.0,0.0
45,Pevek,RU,2022-06-14 21:46:02,69.7008,170.3133,36.37,74,1,6.89,clear sky,0.0,0.0
46,Rush,IE,2022-06-14 21:46:03,53.5223,-6.0931,58.15,74,75,0.0,broken clouds,0.0,0.0
47,Bambous Virieux,MU,2022-06-14 21:36:26,-20.3428,57.7575,71.22,88,75,13.8,broken clouds,0.0,0.0
48,Dikson,RU,2022-06-14 21:35:55,73.5069,80.5464,32.79,79,30,9.26,scattered clouds,0.0,0.0
49,New Norfolk,AU,2022-06-14 21:46:03,-42.7826,147.0587,44.71,84,100,2.59,overcast clouds,0.0,0.0
50,Rikitea,PF,2022-06-14 21:46:04,-23.1203,-134.9692,72.95,70,47,8.99,scattered clouds,0.0,0.0
51,Baghmara,IN,2022-06-14 21:46:04,23.795,86.2085,88.43,47,100,10.36,overcast clouds,0.0,0.0
52,Arman,RU,2022-06-14 21:46:04,59.7,150.1667,48.02,88,100,2.13,overcast clouds,0.0,0.0
53,Victoria,HK,2022-06-14 21:34:27,22.2855,114.1577,79.32,91,100,4.0,light rain,0.0,0.0
54,Atuona,PF,2022-06-14 21:46:05,-9.8,-139.0333,76.89,79,40,20.42,light rain,0.0,0.0
55,Kaeo,NZ,2022-06-14 21:46:05,-35.1,173.7833,55.33,95,17,9.78,few clouds,0.0,0.0
56,Yeppoon,AU,2022-06-14 21:46:05,-23.1333,150.7333,62.38,86,91,7.43,overcast clouds,0.0,0.0
57,Yellowknife,CA,2022-06-14 21:46:06,62.456,-114.3525,75.72,35,75,14.97,broken clouds,0.0,0.0
58,Sao Francisco,BR,2022-06-14 21:46:06,-15.9486,-44.8644,77.43,53,99,8.63,light rain,0.0,0.0
59,Klaksvik,FO,2022-06-14 21:36:49,62.2266,-6.589,50.92,99,94,11.61,overcast clouds,0.0,0.0
60,Ucluelet,CA,2022-06-14 21:46:06,48.9329,-125.5528,58.08,81,13,3.0,few clouds,0.0,0.0
61,Beloha,MG,2022-06-14 21:37:06,-25.1667,45.05,65.16,75,25,7.36,scattered clouds,0.0,0.0
62,Busselton,AU,2022-06-14 21:46:07,-33.65,115.3333,62.37,63,42,12.33,scattered clouds,0.0,0.0
63,Hamilton,US,2022-06-14 21:43:59,39.1834,-84.5333,96.66,57,0,8.05,clear sky,0.0,0.0
64,Taltal,CL,2022-06-14 21:34:08,-25.4,-70.4833,57.15,81,91,6.53,overcast clouds,0.0,0.0
65,Aksarka,RU,2022-06-14 21:46:07,66.5606,67.7975,50.49,65,46,5.61,scattered clouds,0.0,0.0
66,Serenje,ZM,2022-06-14 21:46:08,-13.2325,30.2352,52.83,71,5,3.98,clear sky,0.0,0.0
67,Kuopio,FI,2022-06-14 21:46:08,62.8924,27.677,57.15,88,0,8.05,clear sky,0.0,0.0
68,San Rafael,AR,2022-06-14 21:37:04,-34.6177,-68.3301,52.79,24,0,7.45,clear sky,0.0,0.0
69,Georgetown,MY,2022-06-14 21:36:28,5.4112,100.3354,82.33,91,40,3.44,scattered clouds,0.0,0.0
70,Eyrarbakki,IS,2022-06-14 21:46:08,63.863,-21.1481,48.2,78,100,15.39,overcast clouds,0.0,0.0
71,Columbia,US,2022-06-14 21:43:14,34.0007,-81.0348,105.3,23,66,10.29,broken clouds,0.0,0.0
72,Puerto Ayora,EC,2022-06-14 21:46:09,-0.7393,-90.3518,76.96,89,91,5.01,overcast clouds,0.0,0.0
73,Erzin,TR,2022-06-14 21:46:09,36.9559,36.2,68.92,90,98,1.99,overcast clouds,0.0,0.0
74,Miracema Do Tocantins,BR,2022-06-14 21:46:10,-9.5618,-48.3967,78.55,66,89,2.37,overcast clouds,0.0,0.0
75,Hermanus,ZA,2022-06-14 21:43:58,-34.4187,19.2345,48.79,66,32,7.27,scattered clouds,0.0,0.0
76,Middleton,GB,2022-06-14 21:43:30,53.55,-2.2,58.84,75,36,4.25,scattered clouds,0.0,0.0
77,Lata,PT,2022-06-14 21:46:10,40.1629,-8.3327,65.52,81,0,0.6,clear sky,0.0,0.0
78,Narsaq,GL,2022-06-14 21:36:44,60.9167,-46.05,52.02,47,100,8.75,overcast clouds,0.0,0.0
79,Longyearbyen,SJ,2022-06-14 21:46:11,78.2186,15.6401,40.84,70,75,14.97,broken clouds,0.0,0.0
80,Harper,LR,2022-06-14 21:37:52,4.375,-7.7169,78.13,80,99,10.2,light rain,0.0,0.0
81,Port Alfred,ZA,2022-06-14 21:42:47,-33.5906,26.891,60.03,57,11,25.19,few clouds,0.0,0.0
82,Krasnoselkup,RU,2022-06-14 21:46:11,65.7,82.4667,60.8,80,95,2.75,overcast clouds,0.0,0.0
83,Kaitangata,NZ,2022-06-14 21:46:12,-46.2817,169.8464,41.22,90,98,15.17,overcast clouds,0.0,0.0
84,Kamaishi,JP,2022-06-14 21:46:12,39.2667,141.8833,59.18,82,100,8.41,overcast clouds,0.0,0.0
85,Palmer,US,2022-06-14 21:33:34,42.1584,-72.3287,82.62,40,75,17.27,broken clouds,0.0,0.0
86,Souillac,MU,2022-06-14 21:46:12,-20.5167,57.5167,70.18,88,75,13.8,broken clouds,0.0,0.0
87,Jutai,BR,2022-06-14 21:46:13,-5.1833,-68.9,76.24,76,68,2.39,broken clouds,0.0,0.0
88,Purpe,RU,2022-06-14 21:46:13,64.4803,76.6897,58.78,86,92,10.36,overcast clouds,0.0,0.0
89,Kamenka,RU,2022-06-14 21:46:13,51.3223,42.7678,61.72,59,0,10.51,clear sky,0.0,0.0
90,Guilin,CN,2022-06-14 21:46:14,25.2819,110.2864,75.31,95,100,1.23,overcast clouds,0.0,0.0
91,Vaini,TO,2022-06-14 21:42:51,-21.2,-175.2,78.96,73,20,6.91,few clouds,0.0,0.0
92,Olafsvik,IS,2022-06-14 21:37:51,64.8945,-23.7142,48.79,75,91,15.64,overcast clouds,0.0,0.0
93,Bundaberg,AU,2022-06-14 21:46:14,-24.85,152.35,58.21,99,34,1.99,scattered clouds,0.0,0.0
94,Staryy Nadym,RU,2022-06-14 21:46:14,65.6118,72.6842,49.01,64,97,10.92,overcast clouds,0.0,0.0
95,Esperance,AU,2022-06-14 21:35:10,-33.8667,121.9,54.3,73,0,14.72,clear sky,0.0,0.0
96,Partanna,IT,2022-06-14 21:46:15,37.7278,12.8885,72.19,51,0,4.18,clear sky,0.0,0.0
97,Prince George,CA,2022-06-14 21:46:15,53.9166,-122.753,70.25,36,0,10.36,clear sky,0.0,0.0
98,Ulladulla,AU,2022-06-14 21:37:09,-35.35,150.4667,50.5,64,58,8.01,broken clouds,0.0,0.0
99,Provideniya,RU,2022-06-14 21:36:17,64.3833,-173.3,37.51,93,75,13.42,broken clouds,0.0,0.0
100,Manokwari,ID,2022-06-14 21:46:16,-0.8667,134.0833,78.17,77,79,3.53,broken clouds,0.0,0.0
101,East London,ZA,2022-06-14 21:46:15,-33.0153,27.9116,64.0,40,1,21.3,clear sky,0.0,0.0
102,Portland,US,2022-06-14 21:45:50,45.5234,-122.6762,67.57,56,75,10.36,broken clouds,0.0,0.0
103,Dasoguz,TM,2022-06-14 21:46:16,41.8363,59.9666,80.55,41,0,6.91,clear sky,0.0,0.0
104,Castro,BR,2022-06-14 21:45:57,-24.7911,-50.0119,47.26,93,0,4.79,clear sky,0.0,0.0
105,Semey,KZ,2022-06-14 21:37:29,50.4111,80.2275,62.31,60,1,7.78,clear sky,0.0,0.0
106,Port Lincoln,AU,2022-06-14 21:37:17,-34.7333,135.8667,58.48,81,25,18.48,scattered clouds,0.0,0.0
107,Tilichiki,RU,2022-06-14 21:46:17,60.4667,166.1,56.03,52,69,2.44,broken clouds,0.0,0.0
108,Christchurch,NZ,2022-06-14 21:43:58,-43.5333,172.6333,45.41,93,3,2.3,clear sky,0.0,0.0
109,Denpasar,ID,2022-06-14 21:41:43,-8.65,115.2167,78.46,94,40,6.91,scattered clouds,0.0,0.0
110,Barrow,US,2022-06-14 21:45:56,71.2906,-156.7887,37.42,75,100,8.05,overcast clouds,0.0,0.0
111,Gat,IL,2022-06-14 21:45:04,31.61,34.7642,74.8,100,0,3.29,clear sky,0.0,0.0
112,Polunochnoye,RU,2022-06-14 21:46:17,60.8697,60.4153,52.05,55,92,2.98,overcast clouds,0.0,0.0
113,Sao Borja,BR,2022-06-14 21:46:18,-28.6606,-56.0044,56.95,87,0,6.62,clear sky,0.0,0.0
114,Vila Franca Do Campo,PT,2022-06-14 21:37:55,37.7167,-25.4333,65.19,81,98,2.35,overcast clouds,0.0,0.0
115,Pitiquito,MX,2022-06-14 21:46:18,30.7,-112.0833,100.63,17,0,21.97,clear sky,0.0,0.0
116,Raga,SS,2022-06-14 21:46:18,8.4596,25.678,73.15,76,96,2.8,overcast clouds,0.0,0.0
117,Upernavik,GL,2022-06-14 21:46:19,72.7868,-56.1549,30.88,78,21,10.92,few clouds,0.0,0.0
118,Churapcha,RU,2022-06-14 21:46:19,62.0025,132.4325,55.63,86,100,2.53,overcast clouds,0.0,0.0
119,Saint-Augustin,CA,2022-06-14 21:46:19,51.226,-58.6502,62.65,50,86,8.37,overcast clouds,0.0,0.0
120,Port Elizabeth,ZA,2022-06-14 21:36:24,-33.918,25.5701,59.09,68,20,23.02,few clouds,0.0,0.0
121,Kodiak,US,2022-06-14 21:46:20,57.79,-152.4072,51.31,87,100,10.36,moderate rain,0.0,0.0
122,Pascagoula,US,2022-06-14 21:46:20,30.3658,-88.5561,93.2,55,0,8.05,clear sky,0.0,0.0
123,Oktyabrskiy,RU,2022-06-14 21:46:20,54.4815,53.471,55.62,88,4,4.59,clear sky,0.0,0.0
124,Pisco,PE,2022-06-14 21:34:59,-13.7,-76.2167,64.45,77,0,9.22,clear sky,0.0,0.0
125,Thompson,CA,2022-06-14 21:37:12,55.7435,-97.8558,82.56,32,75,13.8,broken clouds,0.0,0.0
126,Oranjestad,AW,2022-06-14 21:36:01,12.524,-70.027,80.11,82,76,27.04,broken clouds,0.0,0.0
127,Dalby,AU,2022-06-14 21:46:21,-27.1833,151.2667,56.71,80,2,1.72,clear sky,0.0,0.0
128,Mosquera,CO,2022-06-14 21:41:55,4.7059,-74.2302,59.09,77,75,6.91,broken clouds,0.0,0.0
129,Bambanglipuro,ID,2022-06-14 21:46:21,-7.95,110.2833,75.7,88,70,3.29,broken clouds,0.0,0.0
130,Amarante Do Maranhao,BR,2022-06-14 21:46:22,-5.5667,-46.7422,72.1,95,32,3.09,scattered clouds,0.0,0.0
131,Port Macquarie,AU,2022-06-14 21:46:22,-31.4333,152.9167,52.5,77,0,5.19,clear sky,0.0,0.0
132,Cap Malheureux,MU,2022-06-14 21:46:23,-19.9842,57.6142,71.47,72,85,4.0,overcast clouds,0.0,0.0
133,Cidreira,BR,2022-06-14 21:37:37,-30.1811,-50.2056,62.01,87,0,14.23,clear sky,0.0,0.0
134,Lahad Datu,MY,2022-06-14 21:46:23,5.0268,118.327,75.13,92,98,1.79,overcast clouds,0.0,0.0
135,High Level,CA,2022-06-14 21:45:02,58.5169,-117.136,66.31,55,75,11.5,broken clouds,0.0,0.0
136,Laguna,US,2022-06-14 21:32:17,38.421,-121.4238,90.03,15,0,13.8,clear sky,0.0,0.0
137,Saint-Philippe,RE,2022-06-14 21:41:36,-21.3585,55.7679,69.39,69,40,12.66,scattered clouds,0.0,0.0
138,Vila Velha,BR,2022-06-14 21:37:16,-20.3297,-40.2925,69.75,81,75,11.5,broken clouds,0.0,0.0
139,Ahuimanu,US,2022-06-14 21:46:24,21.4447,-157.8378,81.54,78,100,21.85,light rain,0.76,0.0
140,Luderitz,NA,2022-06-14 21:38:02,-26.6481,15.1594,57.42,73,0,6.2,clear sky,0.0,0.0
141,Conway,US,2022-06-14 21:43:14,35.0887,-92.4421,96.03,55,0,16.11,clear sky,0.0,0.0
142,Qujing,CN,2022-06-14 21:37:11,25.4833,103.7833,55.98,79,96,2.55,overcast clouds,0.0,0.0
143,Tayshet,RU,2022-06-14 21:46:24,55.9342,98.0044,63.03,73,89,3.22,overcast clouds,0.0,0.0
144,Acara,BR,2022-06-14 21:46:25,-1.9608,-48.1967,72.99,96,96,2.93,moderate rain,0.0,0.0
145,Whitehorse,CA,2022-06-14 21:42:34,60.7161,-135.0538,51.1,95,100,2.3,light rain,0.0,0.0
146,San Quintin,MX,2022-06-14 21:36:45,30.4833,-115.95,68.7,64,0,11.39,clear sky,0.0,0.0
147,Yulara,AU,2022-06-14 21:37:41,-25.2406,130.9889,55.04,57,1,5.61,clear sky,0.0,0.0
148,Ampanihy,MG,2022-06-14 21:46:25,-24.7,44.75,66.02,44,5,5.61,clear sky,0.0,0.0
149,Khorramshahr,IR,2022-06-14 21:46:26,30.4397,48.1664,94.96,21,0,6.91,clear sky,0.0,0.0
150,Maragogi,BR,2022-06-14 21:43:08,-9.0122,-35.2225,76.06,78,12,5.59,few clouds,0.0,0.0
151,Markova,UA,2022-06-14 21:46:26,48.6758,24.4138,48.07,89,45,4.12,scattered clouds,0.0,0.0
152,Riyadh,SA,2022-06-14 21:36:57,24.6877,46.7219,89.74,15,0,7.52,clear sky,0.0,0.0
153,Margate,GB,2022-06-14 21:46:27,51.3813,1.3862,60.31,77,25,3.0,scattered clouds,0.0,0.0
154,Maceio,BR,2022-06-14 21:46:27,-9.6658,-35.7353,74.64,94,75,2.3,broken clouds,0.0,0.0
155,Naze,JP,2022-06-14 21:46:27,28.3667,129.4833,74.32,88,100,14.52,overcast clouds,0.0,0.0
156,Butaritari,KI,2022-06-14 21:46:28,3.0707,172.7902,82.11,73,88,13.51,overcast clouds,0.0,0.0
157,Gazojak,TM,2022-06-14 21:46:28,41.1875,61.4036,81.93,27,30,10.56,scattered clouds,0.0,0.0
158,Belem De Sao Francisco,BR,2022-06-14 21:46:28,-8.7539,-38.9658,75.83,71,23,19.98,few clouds,0.0,0.0
159,Nelson Bay,AU,2022-06-14 21:46:29,-32.7167,152.15,48.0,96,0,9.89,clear sky,0.0,0.0
160,Las Cruces,US,2022-06-14 21:44:09,32.3123,-106.7783,101.37,11,0,18.41,clear sky,0.0,0.0
161,Manado,ID,2022-06-14 21:46:29,1.487,124.8455,74.17,100,20,1.14,few clouds,0.0,0.0
162,Hilo,US,2022-06-14 21:46:29,19.7297,-155.09,86.29,67,20,8.05,few clouds,0.0,0.0
163,Kashi,CN,2022-06-14 21:46:30,39.4547,75.9797,78.01,18,0,13.42,clear sky,0.0,0.0
164,Watertown,US,2022-06-14 21:45:48,42.3709,-71.1828,83.84,40,75,12.66,broken clouds,0.0,0.0
165,Klyuchi,RU,2022-06-14 21:46:14,52.2667,79.1667,59.77,75,1,7.7,clear sky,0.0,0.0
166,Mangai,CD,2022-06-14 21:46:30,-4.05,19.5333,74.53,65,100,1.52,overcast clouds,0.0,0.0
167,Uaua,BR,2022-06-14 21:46:31,-9.8414,-39.4817,73.11,73,25,13.24,scattered clouds,0.0,0.0
168,Tautira,PF,2022-06-14 21:46:31,-17.7333,-149.15,79.23,71,49,21.52,scattered clouds,0.0,0.0
169,Arraial Do Cabo,BR,2022-06-14 21:46:31,-22.9661,-42.0278,66.06,72,40,3.44,scattered clouds,0.0,0.0
170,Jamestown,US,2022-06-14 21:46:32,42.097,-79.2353,80.94,71,2,5.66,clear sky,0.0,0.0
171,Waddan,LY,2022-06-14 21:35:56,29.1614,16.139,77.02,44,0,16.96,clear sky,0.0,0.0
172,San Cristobal,VE,2022-06-14 21:38:06,7.7669,-72.225,77.18,93,100,4.94,overcast clouds,0.0,0.0
173,Mana,GF,2022-06-14 21:46:32,5.6592,-53.7767,77.74,82,65,7.58,broken clouds,0.0,0.0
174,Martapura,ID,2022-06-14 21:46:33,-3.4167,114.85,75.29,100,99,1.14,overcast clouds,0.0,0.0
175,Nazca,PE,2022-06-14 21:46:33,-14.8333,-74.95,70.47,49,51,5.66,broken clouds,0.0,0.0
176,Hato Mayor,DO,2022-06-14 21:46:33,18.7629,-69.256,81.95,65,77,10.8,broken clouds,0.0,0.0
177,Saint George,US,2022-06-14 21:45:13,37.1041,-113.5841,92.62,9,0,6.91,clear sky,0.0,0.0
178,Touros,BR,2022-06-14 21:41:40,-5.1989,-35.4608,75.15,77,2,11.05,clear sky,0.0,0.0
179,Mehriz,IR,2022-06-14 21:46:34,31.5917,54.4318,84.7,14,9,1.9,clear sky,0.0,0.0
180,Roebourne,AU,2022-06-14 21:46:34,-20.7833,117.1333,71.67,59,5,7.96,clear sky,0.0,0.0
181,Puerto Carreno,CO,2022-06-14 21:46:34,6.189,-67.4859,72.68,91,99,3.02,overcast clouds,0.0,0.0
182,Bethel,US,2022-06-14 21:46:34,41.3712,-73.414,82.49,46,0,9.22,clear sky,0.0,0.0
183,Leningradskiy,RU,2022-06-14 21:46:35,69.3833,178.4167,32.97,96,99,9.01,light snow,0.0,0.0
